"Incident UID","Incident Date","Agency","CIBRS Unique Offense ID","CIBRS Offense Description","City","Zip Code","Block Address","Domestic Violence Incident","Victim UID","Victim Age","Victim Race","Victim Sex"
"734203","2021 May 13 07:30:00 PM","SAN DIEGO","734203-11A-756226","Forcible Rape","SAN DIEGO","92037",,"true","756226","39","WHITE","FEMALE"
"978460","2022 Jan 17 10:45:00 AM","SAN DIEGO","978460-11D-1012370","Forcible Fondling","SAN DIEGO","92037",,"false","1012370","9","WHITE","MALE"
"1580790","2023 Jan 29 02:00:00 AM","SAN DIEGO","1580790-13A-1427972","Aggravated Assault","SAN DIEGO","92093","0  BLOCK  LA JOLLA","true","1427972","31","WHITE","FEMALE"
"1844611","2023 Feb 04 10:12:00 AM","SAN DIEGO","1844611-11A-1643197","Forcible Rape","SAN DIEGO","92037",,"true","1643197","57","HISPANIC","FEMALE"
"1705789","2023 Apr 16 02:39:00 AM","SAN DIEGO","1705789-11A-1530387","Forcible Rape","SAN DIEGO","92037",,"false","1530387","16","BLACK","FEMALE"
"1758788","2023 Jul 14 11:30:00 PM","SAN DIEGO","1758788-13A-1574273","Aggravated Assault","SAN DIEGO","92037","0  BLOCK  N ALLEY 200 NAUTLIUS STREET","false","1574273","25","WHITE","FEMALE"
"2629961","2025 Jul 22 04:30:00 PM","SAN DIEGO","2629961-11D-2281836","Forcible Fondling","SAN DIEGO","92037",,"false","2281836","14","OTHER","FEMALE"
"2908458","2026 Mar 22 11:00:00 PM","SAN DIEGO","2908458-11A-2497734","Forcible Rape","SAN DIEGO","92037",,"false","2497734","26","HISPANIC","FEMALE"
"656932","2021 Jan 08 10:30:00 PM","SAN DIEGO","656932-13B-674320","Simple Assault","SAN DIEGO","92037","8600  BLOCK  VILLA LA JOLLA DRIVE","false","674320","43","WHITE","MALE"
"433698","2021 Jan 14 05:43:39 PM","SAN DIEGO","433698-13B-445153","Simple Assault","SAN DIEGO","92121","8500  BLOCK  SPECTRUM LANE","true","445153","38","WHITE","FEMALE"
"641988","2021 Jan 19 07:00:45 PM","SAN DIEGO","641988-13B-658408","Simple Assault","SAN DIEGO","92037","5500  BLOCK  CHELSEA AVENUE","false","658408","59","WHITE","MALE"
"437539","2021 Jan 01 12:30:13 AM","SAN DIEGO","437539-13B-449261","Simple Assault","SAN DIEGO","92122","7100  BLOCK  SHORELINE DRIVE","true","449261","41","WHITE","FEMALE"
"426177","2021 Jan 18 09:53:25 AM","SAN DIEGO","426177-13A-437160","Aggravated Assault","SAN DIEGO","92037","7700  BLOCK  SIERRA MAR DRIVE","false","437160","43","HISPANIC","MALE"
"630037","2021 Jan 26 08:30:00 AM","SAN DIEGO","630037-100-645668","Kidnaping/Abduction","SAN DIEGO","92121","9600  BLOCK  SCRANTON ROAD","true","645668","46","HISPANIC","FEMALE"
"433287","2021 Jan 16 07:50:34 PM","SAN DIEGO","433287-13A-444723","Aggravated Assault","SAN DIEGO","92122","3400  BLOCK  LEBON DRIVE","true","444723","22","OTHER ASIAN","FEMALE"
"1072192","2021 Jan 04 06:30:42 PM","SAN DIEGO","1072192-13B-1109583","Simple Assault","SAN DIEGO","92122","3400  BLOCK  LEBON DRIVE","true","1109583","38","BLACK","FEMALE"
"442129","2021 Jan 06 11:15:00 AM","SAN DIEGO","442129-11D-454148","Forcible Fondling","SAN DIEGO","92121",,"false","454148","46","BLACK","FEMALE"
"441894","2021 Jan 16 03:00:00 PM","SAN DIEGO","441894-13B-453894","Simple Assault","SAN DIEGO","92122","3100  BLOCK  CARNEGIE PLACE","false","453894","49","WHITE","FEMALE"
"656931","2021 Jan 08 09:05:00 PM","SAN DIEGO","656931-13B-674319","Simple Assault","SAN DIEGO","92037","7500  BLOCK  GIRARD AVENUE","false","674319","48","WHITE","FEMALE"
"416111","2021 Jan 14 04:00:00 PM","SAN DIEGO","416111-100-427436","Kidnaping/Abduction","SAN DIEGO","92121","4700  BLOCK  EASTGATE MALL","true","427436","40","HISPANIC","FEMALE"
"426120","2021 Jan 18 08:01:44 AM","SAN DIEGO","426120-13C-437102","Intimidation","SAN DIEGO","92037","3300  BLOCK  CAMINITO VASTO","false","437102","57","WHITE","FEMALE"
"436281","2021 Jan 16 08:00:00 PM","SAN DIEGO","436281-13A-447920","Aggravated Assault","SAN DIEGO","92037","1100  BLOCK  AVENIDA AMANTEA","true","447920","25","WHITE","FEMALE"
"1072288","2021 Jan 03 06:21:00 PM","SAN DIEGO","1072288-13B-1109676","Simple Assault","SAN DIEGO","92037","1300  BLOCK  TORREY PINES ROAD","false","1109676","12","WHITE","FEMALE"
"610654","2021 Jan 11 11:00:00 PM","SAN DIEGO","610654-13B-624928","Simple Assault","SAN DIEGO","92121","4500  BLOCK  LA JOLLA VILLAGE DRIVE","true","624928","73","WHITE","MALE"
