"Incident UID","Incident Date","Agency","CIBRS Unique Offense ID","CIBRS Offense Description","City","Zip Code","Block Address","Domestic Violence Incident","Stolen Vehicles"
"726836","2021 May 22 04:30:00 AM","SAN DIEGO","726836-23H","All Other Larceny","SAN DIEGO","92037","0  BLOCK  EVENING WAY","false",
"817331","2021 Sep 04 08:00:00 PM","SAN DIEGO","817331-240","Motor Vehicle Theft","SAN DIEGO","92037","600  BLOCK  CARLA WAY","false",
"1214571","2022 Jun 17 05:45:00 PM","SAN DIEGO","1214571-23F","Theft From Motor Vehicle","SAN DIEGO","92037","0  BLOCK  PROSPECT PLACE","false",
"1988616","2024 Jan 24 08:00:28 PM","SAN DIEGO","1988616-240","Motor Vehicle Theft","SAN DIEGO","92122","5300  BLOCK  TOSCANA WAY","false",
"2493111","2025 Mar 09 04:00:00 PM","SAN DIEGO","2493111-240","Motor Vehicle Theft","SAN DIEGO","92122","5300  BLOCK  TOSCANA WAY","false",
"2520551","2025 Apr 05 12:00:01 AM","SAN DIEGO","2520551-23H","All Other Larceny","SAN DIEGO","92121","0  BLOCK  CARROLL CANYON/DANTLEY ROAD","false",
"2869275","2026 Feb 20 12:30:31 PM","SAN DIEGO","2869275-240","Motor Vehicle Theft","SAN DIEGO","92037","EL PASEO GRANDE KENNEL WAY","false","1"
"617224","2021 Jan 19 04:00:00 PM","SAN DIEGO","617224-240","Motor Vehicle Theft","SAN DIEGO","92093","9700  BLOCK  NORTH TORREY PINES ROAD","false","1"
"436572","2021 Jan 09 03:00:00 PM","SAN DIEGO","436572-23H","All Other Larceny","SAN DIEGO","92122","5200  BLOCK  FIORE TERRACE","false",
"445745","2021 Jan 16 06:52:00 PM","SAN DIEGO","445745-220","Burglary/Breaking & Entering","SAN DIEGO","92037","7900  BLOCK  CALLE DE LA PLATA","false",
"609361","2021 Jan 05 03:00:00 PM","SAN DIEGO","609361-23H","All Other Larceny","SAN DIEGO","92122","4100  BLOCK  LAS PALMAS SQUARE","false",
"417008","2021 Jan 12 03:30:00 PM","SAN DIEGO","417008-23H","All Other Larceny","SAN DIEGO","92037","700  BLOCK  PROSPECT STREET","false",
"433309","2021 Jan 17 03:45:00 PM","SAN DIEGO","433309-220","Burglary/Breaking & Entering","SAN DIEGO","92122","3800  BLOCK  NOBEL DRIVE","false",
