"Incident UID","Incident Date","Agency","CIBRS Unique Offense ID","CIBRS Offense Description","City","Zip Code","Block Address","Domestic Violence Incident"
"1768956","2023 Jul 24 06:54:02 PM","SAN DIEGO","1768956-35A","Drug/Narcotic Violations","SAN DIEGO","92122","0  BLOCK  GOVERNOR GOVERNOR DRIVE","false"
"1071181","2021 Jan 11 12:05:00 AM","SAN DIEGO","1071181-35A","Drug/Narcotic Violations","SAN DIEGO","92122","6200  BLOCK  RADCLIFFE DRIVE","false"
"1071572","2021 Jan 11 04:54:00 PM","SAN DIEGO","1071572-35A","Drug/Narcotic Violations","SAN DIEGO","92122","6300  BLOCK  GREENWICH DRIVE","false"
"437987","2021 Jan 23 02:30:00 AM","SAN DIEGO","437987-35A","Drug/Narcotic Violations","SAN DIEGO","92122","3400  BLOCK  LEBON DRIVE","false"
"439436","2021 Jan 24 10:08:00 PM","SAN DIEGO","439436-35A","Drug/Narcotic Violations","SAN DIEGO","92122","4200  BLOCK  NOBEL DRIVE","false"
"433733","2021 Jan 19 01:34:09 PM","SAN DIEGO","433733-520","Weapon Law Violations","SAN DIEGO","92037","5100  BLOCK  LA JOLLA BOULEVARD","false"
"671441","2021 Jan 24 12:46:00 PM","SAN DIEGO","671441-35A","Drug/Narcotic Violations","SAN DIEGO","92121","9900  BLOCK  HUENNEKENS STREET","false"
"414453","2021 Jan 09 06:10:06 AM","SAN DIEGO","414453-520","Weapon Law Violations","SAN DIEGO","92037","EASTGATE MALL / GENESEE AVENUE","false"
"1496087","2021 Jan 03 03:30:00 AM","SAN DIEGO","1496087-35B","Drug Equipment Violations","SAN DIEGO","92121","4800  BLOCK  LA JOLLA VILLAGE DRIVE","false"
"442154","2021 Jan 26 06:40:00 PM","SAN DIEGO","442154-35A","Drug/Narcotic Violations","SAN DIEGO","92037","7600  BLOCK  EADS AVENUE","false"
"414453","2021 Jan 09 06:10:06 AM","SAN DIEGO","414453-35A","Drug/Narcotic Violations","SAN DIEGO","92037","EASTGATE MALL / GENESEE AVENUE","false"
"1249004","2021 Jan 05 01:38:00 AM","SAN DIEGO","1249004-35A","Drug/Narcotic Violations","SAN DIEGO","92121","6600  BLOCK  COBRA WAY","false"
"1249004","2021 Jan 05 01:38:00 AM","SAN DIEGO","1249004-35B","Drug Equipment Violations","SAN DIEGO","92121","6600  BLOCK  COBRA WAY","false"
"1249037","2021 Jan 07 02:15:00 AM","SAN DIEGO","1249037-35B","Drug Equipment Violations","SAN DIEGO","92121","6700  BLOCK  MIRA MESA BOULEVARD","false"
"1071676","2021 Jan 05 05:00:00 PM","SAN DIEGO","1071676-35A","Drug/Narcotic Violations","SAN DIEGO","92037","7500  BLOCK  MIRAMAR AVENUE","true"
"1250950","2021 Feb 25 09:39:00 AM","SHERIFF","1250950-35B","Drug Equipment Violations","SAN DIEGO","92121","NOB AVENUE / NOB AVENUE","false"
"1250438","2021 Feb 11 09:39:28 AM","SAN DIEGO","1250438-35A","Drug/Narcotic Violations","SAN DIEGO","92122","3300  BLOCK  GOVERNOR DRIVE","false"
"1249623","2021 Jan 30 09:12:00 PM","SAN DIEGO","1249623-35B","Drug Equipment Violations","SAN DIEGO","92121","9900  BLOCK  VISTA SORRENTO PARKWAY","false"
"627962","2021 Feb 22 06:15:30 AM","SAN DIEGO","627962-520","Weapon Law Violations","SAN DIEGO","92037","ARRIBA STREET / REGENTS ROAD","false"
"634353","2021 Feb 11 10:58:00 AM","SHERIFF","634353-35A","Drug/Narcotic Violations","SAN DIEGO","92121","9800  BLOCK  MESA RIM ROAD","false"
"1250438","2021 Feb 11 09:39:28 AM","SAN DIEGO","1250438-35B","Drug Equipment Violations","SAN DIEGO","92122","3300  BLOCK  GOVERNOR DRIVE","false"
"613557","2021 Feb 01 10:00:00 AM","EL CAJON","613557-35A","Drug/Narcotic Violations","SAN DIEGO","92121","4500  BLOCK  LA JOLLA VILLAGE DRIVE","false"
"1249623","2021 Jan 30 09:12:00 PM","SAN DIEGO","1249623-520","Weapon Law Violations","SAN DIEGO","92121","9900  BLOCK  VISTA SORRENTO PARKWAY","false"
"1250950","2021 Feb 25 09:39:00 AM","SHERIFF","1250950-35A","Drug/Narcotic Violations","SAN DIEGO","92121","NOB AVENUE / NOB AVENUE","false"
"1250950","2021 Feb 25 09:39:00 AM","SHERIFF","1250950-520","Weapon Law Violations","SAN DIEGO","92121","NOB AVENUE / NOB AVENUE","false"
"1250605","2021 Feb 24 12:45:00 PM","SAN DIEGO","1250605-35B","Drug Equipment Violations","SAN DIEGO","92037","6600  BLOCK  LA JOLLA BOULEVARD","false"
"642222","2021 Feb 19 05:05:26 PM","SAN DIEGO","642222-35A","Drug/Narcotic Violations","SAN DIEGO","92037","5400  BLOCK  CARDENO DRIVE","false"
"635901","2021 Mar 01 07:10:00 PM","SAN DIEGO","635901-520","Weapon Law Violations","SAN DIEGO","92121","6100  BLOCK  MARINDUSTRY DRIVE","false"
"1251680","2021 Mar 24 09:43:00 PM","SAN DIEGO","1251680-35A","Drug/Narcotic Violations","SAN DIEGO","92122","3800  BLOCK  GOVERNOR DRIVE","false"
"642604","2021 Mar 09 03:08:44 PM","SAN DIEGO","642604-35A","Drug/Narcotic Violations","SAN DIEGO","92122","4500  BLOCK  MURPHY AVENUE","false"
"640510","2021 Mar 01 12:00:00 PM","SAN DIEGO","640510-520","Weapon Law Violations","SAN DIEGO","92122","6100  BLOCK  AGEE STREET","false"
"1251701","2021 Mar 27 06:58:00 PM","SAN DIEGO","1251701-35B","Drug Equipment Violations","SAN DIEGO","92122","4500  BLOCK  LA JOLLA VILLAGE DRIVE","false"
"721478","2021 Mar 26 06:00:30 PM","SAN DIEGO","721478-40A","Prostitution","SAN DIEGO","92121","6600  BLOCK  LUSK BOULEVARD","false"
"995666","2021 Mar 02 09:30:00 PM","SAN DIEGO","995666-35B","Drug Equipment Violations","SAN DIEGO","92121","6600  BLOCK  FLANDERS DRIVE","false"
"1251680","2021 Mar 24 09:43:00 PM","SAN DIEGO","1251680-35B","Drug Equipment Violations","SAN DIEGO","92122","3800  BLOCK  GOVERNOR DRIVE","false"
"1251496","2021 Mar 05 03:11:00 AM","SAN DIEGO","1251496-35A","Drug/Narcotic Violations","SAN DIEGO","92122","5200  BLOCK  FIORE TERRACE","false"
"1251701","2021 Mar 27 06:58:00 PM","SAN DIEGO","1251701-35A","Drug/Narcotic Violations","SAN DIEGO","92122","4500  BLOCK  LA JOLLA VILLAGE DRIVE","false"
"661737","2021 Mar 25 07:14:00 PM","SAN DIEGO","661737-40A","Prostitution","SAN DIEGO","92121","6900  BLOCK  MIRAMAR ROAD","false"
"635901","2021 Mar 01 07:10:00 PM","SAN DIEGO","635901-35A","Drug/Narcotic Violations","SAN DIEGO","92121","6100  BLOCK  MARINDUSTRY DRIVE","false"
"638213","2021 Mar 05 11:09:04 AM","SAN DIEGO","638213-35A","Drug/Narcotic Violations","SAN DIEGO","92122","4100  BLOCK  NOBEL DRIVE","false"
"1251496","2021 Mar 05 03:11:00 AM","SAN DIEGO","1251496-35B","Drug Equipment Violations","SAN DIEGO","92122","5200  BLOCK  FIORE TERRACE","false"
"1251701","2021 Mar 27 06:58:00 PM","SAN DIEGO","1251701-520","Weapon Law Violations","SAN DIEGO","92122","4500  BLOCK  LA JOLLA VILLAGE DRIVE","false"
"649179","2021 Mar 13 08:23:00 PM","SAN DIEGO","649179-35A","Drug/Narcotic Violations","SAN DIEGO","92122","7600  BLOCK  PALMILLA DRIVE","false"
"1251743","2021 Mar 31 09:30:00 PM","SAN DIEGO","1251743-35A","Drug/Narcotic Violations","SAN DIEGO","92121","9800  BLOCK  PACIFIC HEIGHTS BOULEVARD","false"
"684391","2021 Apr 10 08:45:00 AM","SAN DIEGO","684391-35A","Drug/Narcotic Violations","SAN DIEGO","92037","8600  BLOCK  VIA MALLORCA","false"
"717265","2021 Apr 20 05:06:58 PM","SAN DIEGO","717265-35A","Drug/Narcotic Violations","SAN DIEGO","92037","7800  BLOCK  GIRARD AVENUE","false"
"1251743","2021 Mar 31 09:30:00 PM","SAN DIEGO","1251743-35B","Drug Equipment Violations","SAN DIEGO","92121","9800  BLOCK  PACIFIC HEIGHTS BOULEVARD","false"
"686848","2021 Apr 20 12:00:00 PM","SAN DIEGO","686848-520","Weapon Law Violations","SAN DIEGO","92121","5300  BLOCK  MIRA MESA BOULEVARD","false"
"1253094","2021 Apr 25 06:38:32 PM","SAN DIEGO","1253094-35A","Drug/Narcotic Violations","SAN DIEGO","92122","LA JOLLA VILLAGE DRIVE / LEBON DRIVE","false"
"1253094","2021 Apr 25 06:38:32 PM","SAN DIEGO","1253094-35B","Drug Equipment Violations","SAN DIEGO","92122","LA JOLLA VILLAGE DRIVE / LEBON DRIVE","false"
"1252998","2021 Apr 14 02:48:00 PM","SAN DIEGO","1252998-35B","Drug Equipment Violations","SAN DIEGO","92121","9600  BLOCK  SCRANTON ROAD","false"
"1546668","2021 Apr 11 04:30:00 PM","SAN DIEGO","1546668-35A","Drug/Narcotic Violations","SAN DIEGO","92122","4500  BLOCK  LA JOLLA VILLAGE DRIVE","false"
"682678","2021 Apr 12 07:57:00 AM","SAN DIEGO","682678-35A","Drug/Narcotic Violations","SAN DIEGO","92121","SORRENTO VALLEY BOULEVARD / SORRENTO VALLEY ROAD","false"
"676519","2021 Apr 05 06:13:00 PM","SAN DIEGO","676519-35A","Drug/Narcotic Violations","SAN DIEGO","92122","2900  BLOCK  GOBAT AVENUE","false"
"852436","2021 Apr 03 01:00:00 PM","SHERIFF","852436-35A","Drug/Narcotic Violations","SAN DIEGO","92037","9800  BLOCK  GENESEE AVENUE","false"
"681785","2021 Apr 14 04:00:00 PM","SAN DIEGO","681785-35A","Drug/Narcotic Violations","SAN DIEGO","92121","9600  BLOCK  SCRANTON ROAD","false"
"678990","2021 Apr 13 02:15:00 PM","SAN DIEGO","678990-35A","Drug/Narcotic Violations","SAN DIEGO","92122","5200  BLOCK  FIORE TERRACE","true"
"1252998","2021 Apr 14 02:48:00 PM","SAN DIEGO","1252998-35A","Drug/Narcotic Violations","SAN DIEGO","92121","9600  BLOCK  SCRANTON ROAD","false"
"692483","2021 Apr 19 05:50:00 PM","SAN DIEGO","692483-35A","Drug/Narcotic Violations","SAN DIEGO","92121","MIRA MESA BOULEVARD / PACIFIC HEIGHTS BOULEVARD","false"
"717266","2021 Apr 22 05:00:00 PM","SAN DIEGO","717266-35A","Drug/Narcotic Violations","SAN DIEGO","92037","6600  BLOCK  AVENIDA ANDORRA","false"
"700909","2021 May 03 05:00:00 PM","SAN DIEGO","700909-520","Weapon Law Violations","SAN DIEGO","92037","0  BLOCK  ALLEY","false"
"698465","2021 May 04 03:26:00 PM","SAN DIEGO","698465-35A","Drug/Narcotic Violations","SAN DIEGO","92122","3900  BLOCK  MAHAILA AVENUE","false"
"703591","2021 May 08 11:30:00 AM","SAN DIEGO","703591-35A","Drug/Narcotic Violations","SAN DIEGO","92121","5900  BLOCK  MIRA MESA BOULEVARD","false"
"1253211","2021 May 10 12:02:20 PM","SAN DIEGO","1253211-35A","Drug/Narcotic Violations","SAN DIEGO","92122","7600  BLOCK  PALMILLA DRIVE","false"
"1253211","2021 May 10 12:02:20 PM","SAN DIEGO","1253211-35B","Drug Equipment Violations","SAN DIEGO","92122","7600  BLOCK  PALMILLA DRIVE","false"
"714611","2021 May 19 02:38:00 PM","SAN DIEGO","714611-35A","Drug/Narcotic Violations","SAN DIEGO","92122","7000  BLOCK  CHARMANT DRIVE","false"
"1253167","2021 May 05 03:43:00 AM","SAN DIEGO","1253167-35B","Drug Equipment Violations","SAN DIEGO","92122","7300  BLOCK  TOSCANA DRIVE","false"
"721604","2021 May 18 09:30:28 PM","SAN DIEGO","721604-40A","Prostitution","SAN DIEGO","92121","6600  BLOCK  LUSK BOULEVARD","false"
"700453","2021 May 06 02:49:00 AM","SAN DIEGO","700453-35A","Drug/Narcotic Violations","SAN DIEGO","92122","5200  BLOCK  FIORE TERRACE","false"
"1253211","2021 May 10 12:02:20 PM","SAN DIEGO","1253211-520","Weapon Law Violations","SAN DIEGO","92122","7600  BLOCK  PALMILLA DRIVE","false"
"715410","2021 May 20 05:13:27 PM","SAN DIEGO","715410-520","Weapon Law Violations","SAN DIEGO","92122","8800  BLOCK  JUDICIAL DRIVE","false"
"701931","2021 May 06 07:00:00 PM","SAN DIEGO","701931-35A","Drug/Narcotic Violations","SAN DIEGO","92122","6600  BLOCK  LIPMANN STREET","false"
"718744","2021 May 10 12:00:00 PM","SAN DIEGO","718744-35A","Drug/Narcotic Violations","SAN DIEGO","92122","7600  BLOCK  PALMILLA DRIVE","false"
"718123","2021 May 24 11:27:00 PM","SAN DIEGO","718123-35A","Drug/Narcotic Violations","SAN DIEGO","92037","5500  BLOCK  CHELSEA AVENUE","false"
"1495971","2021 Jun 04 03:32:00 AM","SAN DIEGO","1495971-35B","Drug Equipment Violations","SAN DIEGO","92122","3400  BLOCK  LEBON DRIVE","false"
